"","observed_on","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name","scientific_name","geometry"
"83",2015-07-14,"research","Colonia","Myiopsitta monachus","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",c(421785.344134593, 6185138.83776758)
"84",2015-07-14,"research","Colonia","Myiopsitta monachus","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",c(421791.812734867, 6185155.97061809)
"85",2015-04-01,"research","Maldonado","Cathartes aura","Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes","Cathartes aura",c(659685.711082783, 6140432.32368832)
"86",2011-04-21,"research","Cerro Largo","Cathartes burrovianus","Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes","Cathartes burrovianus",c(846037.1527833, 6373690.45004695)
"87",2015-04-01,"research","Maldonado","Cathartes aura","Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes","Cathartes aura",c(659467.104995263, 6140498.63805217)
"88",2015-04-01,"research","Maldonado","Coragyps atratus","Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Coragyps","Coragyps atratus",c(659285.609141516, 6146316.6346529)
"89",2011-04-10,"research","Cerro Largo","Cathartes aura","Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes","Cathartes aura",c(789628.745043701, 6416706.33363225)
"90",2015-04-01,"research","Maldonado","Coragyps atratus","Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Coragyps","Coragyps atratus",c(659789.722255992, 6146401.68829555)
"91",2011-04-10,"research","Cerro Largo","Cathartes aura","Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes","Cathartes aura",c(796970.018579955, 6416605.16434977)
"92",2015-11-03,"research","Colonia","Hymenops perspicillatus","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Hymenops","Hymenops perspicillatus",c(422724.700557749, 6185119.08050279)
"93",2015-11-02,"research","Río Negro","Caracara plancus","Animalia","Chordata","Aves","Falconiformes","Falconidae","Caracara","Caracara plancus",c(400152.539101518, 6340990.27788697)
"94",2015-10-23,"research","Paysandú","Zonotrichia capensis","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia capensis",c(398039.638074966, 6423512.63374051)
"95",2015-05-30,"research","Paysandú","Cyanocorax chrysops","Animalia","Chordata","Aves","Passeriformes","Corvidae","Cyanocorax","Cyanocorax chrysops",c(406634.13441699, 6501750.39433021)
"96",2015-05-30,"research","Paysandú","Cathartes aura","Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes","Cathartes aura",c(406653.920820795, 6502039.23150292)
"97",2015-02-26,"research","Montevideo","Egretta thula","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta thula",c(572534.199531785, 6136577.01759411)
"98",2014-10-25,"research","Paysandú","Zenaida auriculata","Animalia","Chordata","Aves","Columbiformes","Columbidae","Zenaida","Zenaida auriculata",c(397057.854789587, 6425097.05665401)
"99",2014-10-25,"research","Paysandú","Vanellus chilensis","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Vanellus chilensis",c(397057.854789587, 6425097.05665401)
"100",2014-10-17,"research","Montevideo","Furnarius rufus","Animalia","Chordata","Aves","Passeriformes","Furnariidae","Furnarius","Furnarius rufus",c(577353.415967536, 6138268.66477044)
