"","user_login","primer_registro","ultimo_registro","registros","tiempo_activo","registros_x_tiempo","categoria_usuario"
"130","andresw994","2021-11-13 19:48:20 UTC","2021-11-13 19:48:20 UTC",1,1,1,"principiante"
"131","andrewsdiez","2020-04-11 15:57:35 UTC","2020-11-17 02:55:16 UTC",42,220.456724537037,0.190513580786437,"principiante"
"132","andrs142","2019-08-10 22:00:11 UTC","2019-08-10 22:00:22 UTC",2,1.00012731481481,1.99974540278437,"principiante"
"133","andrs158","2021-10-24 12:59:08 UTC","2022-02-02 03:49:55 UTC",33,101.618599537037,0.324743699975637,"principiante"
"134","angel71","2017-08-06 16:53:59 UTC","2017-08-06 16:53:59 UTC",1,1,1,"principiante"
"135","angelarabellino","2019-09-12 01:12:22 UTC","2019-09-12 01:12:22 UTC",1,1,1,"principiante"
"136","angeldalchiele","2020-01-28 12:58:57 UTC","2020-10-07 12:53:02 UTC",4,253.995891203704,0.0157482862460638,"principiante"
"137","angelesbordagorry","2020-08-05 20:47:16 UTC","2020-08-05 21:02:54 UTC",2,1.01085648148148,1.97852023174334,"principiante"
"138","angelica180","2020-11-12 15:11:06 UTC","2021-11-18 21:44:10 UTC",5,372.272962962963,0.0134310049276865,"principiante"
"139","angeliquis","2021-12-07 11:57:51 UTC","2022-04-30 00:07:18 UTC",4,144.5065625,0.0276804037878903,"principiante"
"140","anghelo","2021-02-13 20:21:57 UTC","2021-02-13 20:21:57 UTC",1,1,1,"principiante"
"141","angie147","2019-08-23 14:05:15 UTC","2019-08-23 14:05:15 UTC",1,1,1,"principiante"
"142","angie372","2020-06-04 00:27:32 UTC","2020-06-04 00:47:24 UTC",6,1.0137962962963,5.91834870764453,"principiante"
"143","annegret-fast","2021-01-17 00:46:28 UTC","2021-01-17 00:46:28 UTC",1,1,1,"principiante"
"144","anneliesedup","2022-03-02 16:03:11 UTC","2022-03-02 16:03:11 UTC",1,1,1,"principiante"
"145","annepg","2020-11-07 18:26:36 UTC","2020-11-07 18:26:36 UTC",1,1,1,"principiante"
"146","anoukitty","2021-10-24 14:26:28 UTC","2021-10-24 15:04:51 UTC",3,1.02665509259259,2.92211086434506,"principiante"
"147","ant0nella","2022-05-08 18:30:09 UTC","2022-06-30 11:52:04 UTC",2,53.7235532407407,0.0372276195328666,"principiante"
"148","anthony_machado","2020-10-22 00:21:17 UTC","2020-11-20 00:06:08 UTC",2,29.9894791666667,0.0666900544982789,"principiante"
"149","anthony684","2020-06-07 14:27:38 UTC","2020-06-07 14:27:38 UTC",1,1,1,"principiante"
"150","antolin2","2022-05-14 17:33:13 UTC","2022-06-26 00:47:25 UTC",3,43.3015277777778,0.0692816201635175,"principiante"
"151","antonela_baccaro","2022-06-28 18:46:46 UTC","2022-06-28 18:46:46 UTC",1,1,1,"principiante"
"152","antoniourugwild","2021-04-16 18:39:45 UTC","2022-08-02 05:13:59 UTC",3,473.440439814815,0.00633659431622158,"principiante"
"153","aramat","2019-12-01 20:08:50 UTC","2019-12-02 22:11:01 UTC",2,2.08484953703704,0.95930184143762,"principiante"
"154","arazarojo","2020-05-30 18:40:29 UTC","2022-01-16 23:59:29 UTC",14,597.221527777778,0.0234418877231253,"principiante"
"155","arcticopossum","2020-01-06 22:17:11 UTC","2020-01-06 22:17:22 UTC",2,1.00012731481481,1.99974540278437,"principiante"
"156","arideleon","2020-11-28 14:03:52 UTC","2022-07-04 19:15:59 UTC",18,584.216747685185,0.0308104827041001,"principiante"
"157","arielpioli","2020-06-16 23:37:24 UTC","2022-01-06 21:33:46 UTC",8,569.914143518518,0.0140372020785619,"principiante"
"158","arielprados","2020-12-29 00:59:04 UTC","2020-12-29 00:59:04 UTC",1,1,1,"principiante"
"159","arturo58","2018-02-12 19:55:45 UTC","2018-02-12 19:57:19 UTC",2,1.00108796296296,1.99782643882813,"principiante"
"160","asere","2022-10-17 15:13:20 UTC","2022-10-18 12:43:07 UTC",2,1.89568287037037,1.0550287873885,"principiante"
"161","asilvera","2019-06-20 04:13:26 UTC","2019-12-08 20:47:40 UTC",12,172.690439814815,0.0694885021595187,"principiante"
"162","atenca","2018-11-24 17:42:58 UTC","2019-12-15 15:17:39 UTC",3,386.899085648148,0.00775395991172811,"principiante"
"163","atiliodeana","2019-12-23 09:39:30 UTC","2020-03-21 14:55:35 UTC",11,90.2195023148148,0.121924857905071,"principiante"
"164","atorrante","2021-10-14 18:25:26 UTC","2022-02-21 17:18:04 UTC",5,130.953217592593,0.0381815742439827,"principiante"
"165","aurbeltz","2022-01-19 16:02:57 UTC","2022-10-11 01:18:13 UTC",5,265.385601851852,0.0188405096776546,"principiante"
"166","auroradelassierras","2020-08-23 21:04:57 UTC","2020-08-23 21:04:57 UTC",1,1,1,"principiante"
"167","autumnsloth445","2022-09-24 18:24:29 UTC","2022-10-02 15:48:46 UTC",4,8.89186342592593,0.449849464437031,"principiante"
"168","aylen_gomez_souza","2021-01-24 23:22:31 UTC","2021-02-28 06:04:27 UTC",4,35.2791203703704,0.113381511727244,"principiante"
"169","b_ip97","2019-02-19 10:08:51 UTC","2022-09-20 18:46:58 UTC",14,1310.35980324074,0.0106840884201237,"principiante"
"170","b4ldub4","2019-12-18 12:54:47 UTC","2022-10-21 21:10:30 UTC",6,1039.34424768519,0.00577287074360889,"principiante"
"171","barbarapertini","2018-11-18 14:17:26 UTC","2018-11-18 14:17:26 UTC",1,1,1,"principiante"
"172","barkrav","2021-01-12 17:12:36 UTC","2022-09-10 18:43:58 UTC",7,607.063449074074,0.011530919890955,"principiante"
"173","barreiro3258","2020-09-28 18:57:36 UTC","2022-01-14 03:56:09 UTC",4,473.373993055556,0.00844997836526807,"principiante"
"174","batitu","2022-05-31 23:38:07 UTC","2022-10-20 22:26:21 UTC",896,142.950162037037,6.26791874337194,"intermedio"
"175","bautista2","2021-10-10 17:30:06 UTC","2022-09-01 14:40:03 UTC",16,326.881909722222,0.0489473400764101,"principiante"
"176","belen_olivera","2020-04-07 22:57:21 UTC","2022-09-18 14:02:23 UTC",62,894.62849537037,0.0693025097242542,"principiante"
"177","belenarta","2022-04-05 14:55:03 UTC","2022-04-05 14:55:03 UTC",1,1,1,"principiante"
"178","belenchaine","2021-03-25 14:51:15 UTC","2022-03-30 02:09:58 UTC",76,370.471331018519,0.205144079006213,"intermedio"
"179","beln15","2019-04-08 23:51:48 UTC","2021-01-08 17:10:26 UTC",133,641.721273148148,0.207255089655249,"intermedio"
"180","beludominguez","2018-06-01 16:29:53 UTC","2018-06-01 16:29:53 UTC",1,1,1,"principiante"
"181","benjaayres","2021-01-19 14:55:23 UTC","2021-02-21 03:10:33 UTC",3,33.5105324074074,0.0895240924115207,"principiante"
"182","benjaminansola","2021-03-29 14:07:07 UTC","2021-03-29 14:07:07 UTC",1,1,1,"principiante"
"183","bennyto","2019-11-23 20:51:59 UTC","2019-11-23 20:51:59 UTC",1,1,1,"principiante"
"184","benturenson","2022-08-07 19:30:57 UTC","2022-09-25 14:27:04 UTC",4,49.7889699074074,0.0803390792667292,"principiante"
"185","bernardo96","2021-11-02 17:24:37 UTC","2022-08-22 21:32:39 UTC",36,294.17224537037,0.122377282583797,"principiante"
"186","bernardomazzeirosa","2018-12-24 23:21:55 UTC","2018-12-24 23:21:55 UTC",1,1,1,"principiante"
"187","beronagarcia","2020-03-23 06:05:57 UTC","2020-12-22 22:15:42 UTC",5,275.6734375,0.0181374021572173,"principiante"
"188","bert_in_the_skirt","2020-07-01 14:09:12 UTC","2022-08-05 12:02:45 UTC",203,765.9121875,0.265043438808055,"intermedio"
"189","bethaniamoreira","2019-12-15 16:52:29 UTC","2022-01-18 17:34:45 UTC",4,766.029351851852,0.00522173202675606,"principiante"
"190","bfirpo","2022-10-03 11:23:57 UTC","2022-10-03 11:23:57 UTC",1,1,1,"principiante"
"191","bien-plantados","2019-12-19 16:00:56 UTC","2019-12-21 14:35:46 UTC",4,2.94085648148148,1.36014797906254,"principiante"
