"","observed_on","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name","scientific_name","geometry"
"58",2018-11-26,"research","Rivera","Parodia erinacea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Parodia","Parodia erinacea",c(637516.384169606, 6509687.22734665)
"59",2018-11-28,"research","Colonia","Erythrina crista-galli","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Erythrina","Erythrina crista-galli",c(478129.061065229, 6189430.5569524)
"60",2018-12-02,"research","Canelones","Trifolium pratense","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium pratense",c(591315.029279998, 6143767.46211873)
"61",2018-12-02,"research","Canelones","Senecio madagascariensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio","Senecio madagascariensis",c(591306.674618273, 6143938.23672123)
"62",2018-12-02,"research","Maldonado","Chrysolaena flexuosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Chrysolaena","Chrysolaena flexuosa",c(683741.693628845, 6135178.97153051)
"63",2018-12-02,"research","Colonia","Cynara cardunculus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cynara","Cynara cardunculus",c(473487.20136121, 6197396.25636532)
"64",2018-10-08,"research","Rivera","Lupinus multiflorus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus","Lupinus multiflorus",c(627829.888597462, 6511410.61774912)
"65",2018-12-09,"research","Maldonado","Stevia satureiifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Stevia","Stevia satureiifolia",c(662590.733455906, 6137508.35451238)
"66",2018-12-10,"research","Lavalleja","Cirsium vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Cirsium vulgare",c(660873.726358287, 6194348.23031386)
"67",2018-10-27,"research","Lavalleja","Parodia erinacea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Parodia","Parodia erinacea",c(661074.565646043, 6193442.52035251)
"68",2018-12-31,"research","Rivera","Opuntia bonaerensis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia","Opuntia bonaerensis",c(633588.069951985, 6511589.96822121)
"69",2019-01-17,"research","Durazno","Nierembergia linariifolia","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Nierembergia","Nierembergia linariifolia",c(546783.477277736, 6366979.68334202)
"70",2019-01-20,"research","Montevideo","Erythrina crista-galli","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Erythrina","Erythrina crista-galli",c(573447.516551377, 6139011.48183724)
"71",2019-01-26,"research","Maldonado","Bidens pilosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Bidens","Bidens pilosa",c(658802.041112955, 6140198.95410633)
"72",2019-01-28,"research","Rocha","Erigeron blakei","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron","Erigeron blakei",c(795369.140417333, 6188937.9800166)
"73",2019-01-30,"research","Canelones","Erythrina crista-galli","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Erythrina","Erythrina crista-galli",c(596490.3394981, 6148147.69439679)
"74",2019-01-30,"research","Canelones","Erythrina crista-galli","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Erythrina","Erythrina crista-galli",c(596490.224154147, 6148147.89363039)
