"","user_login","primer_registro","ultimo_registro","registros","tiempo_activo","registros_x_tiempo","categoria_usuario"
"141","dbrindl","2020-02-17 13:28:30 UTC","2020-02-18 20:49:13 UTC",2,2.30605324074074,0.867282664886596,"principiante"
"142","delfinaymarysol1","2022-03-18 22:23:17 UTC","2022-03-18 22:23:17 UTC",1,1,1,"principiante"
"143","delfor","2022-10-23 12:06:58 UTC","2022-10-23 12:06:58 UTC",1,1,1,"principiante"
"144","dermochelys","2022-06-16 15:59:09 UTC","2022-10-24 22:05:02 UTC",19,131.254085648148,0.144757398645351,"principiante"
"145","dianafr","2018-09-04 01:25:10 UTC","2022-05-04 06:01:46 UTC",105,1339.19208333333,0.0784054814143229,"principiante"
"146","diane30","2017-01-03 15:18:09 UTC","2017-01-03 15:18:09 UTC",1,1,1,"principiante"
"147","diego_silva2","2022-06-09 16:41:44 UTC","2022-06-09 16:41:44 UTC",1,1,1,"principiante"
"148","diego_v","2020-03-29 17:57:22 UTC","2022-03-13 16:45:39 UTC",46,714.950196759259,0.0643401459409477,"principiante"
"149","diegoalmendras","2019-11-11 17:37:34 UTC","2019-12-02 16:08:11 UTC",89,21.9379282407407,4.05690086243964,"principiante"
"150","diegoarosa","2019-05-18 21:34:52 UTC","2020-05-08 14:18:34 UTC",12,356.697013888889,0.0336419973612058,"principiante"
"151","diegopatino","2019-11-01 20:48:35 UTC","2019-11-23 13:46:55 UTC",8,22.7071759259259,0.352311534736735,"principiante"
"152","diho","2022-04-17 18:23:40 UTC","2022-04-17 18:23:40 UTC",1,1,1,"principiante"
"153","diogoprov","2019-01-09 13:55:35 UTC","2019-01-09 13:55:35 UTC",1,1,1,"principiante"
"154","dr_calamardo","2019-08-20 00:44:52 UTC","2019-08-23 19:05:24 UTC",3,4.76425925925926,0.629688653943328,"principiante"
"155","dragonajuli","2019-04-10 19:24:10 UTC","2019-04-21 19:23:02 UTC",11,11.999212962963,0.916726791494813,"principiante"
"156","drbmh","2020-02-28 21:29:41 UTC","2020-02-28 21:38:17 UTC",2,1.00597222222222,1.98812646693359,"principiante"
"157","drffederico","2021-07-20 01:51:02 UTC","2021-07-20 02:04:38 UTC",3,1.00944444444444,2.97193175564117,"principiante"
"158","drtupps","2017-04-02 01:40:37 UTC","2017-04-02 01:40:37 UTC",1,1,1,"principiante"
"159","e-soriano-vargas","2018-05-07 03:59:48 UTC","2022-10-13 05:21:20 UTC",3,1621.05662037037,0.00185064479691929,"principiante"
"160","e_volitans","2021-11-04 00:05:16 UTC","2021-11-04 00:05:16 UTC",1,1,1,"principiante"
"161","edgar312","2022-07-21 13:46:00 UTC","2022-07-21 13:46:00 UTC",1,1,1,"principiante"
"162","edithester","2020-09-14 16:33:35 UTC","2020-09-27 14:56:41 UTC",2,13.9327083333333,0.14354710887151,"principiante"
"163","edu_bal","2020-01-26 21:49:47 UTC","2020-07-27 04:41:01 UTC",6,183.285578703704,0.0327357997417762,"principiante"
"164","eduardo2","2019-12-28 06:13:50 UTC","2020-02-23 15:07:01 UTC",5,58.3702662037037,0.0856600513444761,"principiante"
"165","efpolcuch","2022-06-12 20:07:38 UTC","2022-06-12 20:07:38 UTC",1,1,1,"principiante"
"166","el-markos","2018-03-28 19:48:04 UTC","2018-03-29 01:21:12 UTC",3,1.23134259259259,2.43636500357183,"principiante"
"167","elbeltrocco","2019-06-25 12:28:44 UTC","2019-12-19 14:46:37 UTC",28,178.095752314815,0.157218797394478,"principiante"
"168","elo_gimenez_iros","2020-05-01 03:33:16 UTC","2020-05-01 03:43:19 UTC",4,1.00697916666667,3.97227681804076,"principiante"
"169","elsamastrangelo","2020-11-15 19:36:21 UTC","2020-11-15 19:36:21 UTC",1,1,1,"principiante"
"170","emilia_tauber","2021-12-17 23:36:56 UTC","2022-06-17 13:14:03 UTC",5,182.56744212963,0.0273871394684372,"principiante"
"171","emilialongoihlenfeld","2019-03-11 01:54:58 UTC","2020-11-01 20:08:05 UTC",8,602.759108796296,0.0132723004650662,"principiante"
"172","enriquecenoz","2022-09-30 01:51:27 UTC","2022-10-26 20:23:05 UTC",193,27.7719675925926,6.94945359404342,"principiante"
"173","erikthuesen","2019-10-14 00:25:31 UTC","2019-10-14 00:25:31 UTC",2,1,2,"principiante"
"174","erin1551","2019-10-26 00:23:28 UTC","2019-10-26 00:23:28 UTC",1,1,1,"principiante"
"175","ernesto1979","2020-12-27 22:33:36 UTC","2021-01-20 15:38:33 UTC",2,24.7117708333333,0.0809330910960954,"principiante"
