"","id","observado","user_id","latitude","longitude","place_admin1_name","especie","clase","familia","distribucion","largo_cm","status_global","status_regional","usuario","nivel","ranking"
"14649",128888623,"2022-07-31",1467469,-32.4296688413,-58.1687907475,"Río Negro","Melanerpes cactorum","Aves","Picidae",6,16,"LC","VU","santiagomailhos","experimentado",1
"14650",128892869,"2022-07-30",1467469,-32.5288556484,-58.0377136599,"Río Negro","Melanerpes candidus","Aves","Picidae",19,24,"LC","LC","santiagomailhos","experimentado",1
"14651",128893307,"2022-07-31",1467469,-32.5249540462,-58.0386844027,"Río Negro","Cranioleuca pyrrhophia","Aves","Furnariidae",19,14,"LC","LC","santiagomailhos","experimentado",1
"14652",128894253,"2022-07-26",1467469,-32.528864737,-58.0382388392,"Río Negro","Microspingus melanoleucus","Aves","Thraupidae",19,12,"LC","LC","santiagomailhos","experimentado",1
"14653",128894676,"2022-07-26",1467469,-32.5288570326,-58.0382009926,"Río Negro","Hylocharis chrysura","Aves","Trochilidae",19,8,"LC","LC","santiagomailhos","experimentado",1
"14654",128908591,"2022-07-31",5746452,-34.4593712259,-56.8983938545,"San José","Microspingus melanoleucus","Aves","Thraupidae",19,12,"LC","LC",NA,NA,NA
"14655",128909071,"2022-07-31",5746452,-34.4819650117,-56.8710966781,"San José","Poospiza nigrorufa","Aves","Thraupidae",19,13,"LC","LC",NA,NA,NA
"14656",128916775,"2022-07-30",5141848,-34.9126131375,-55.1086194922,"Maldonado","Lontra longicaudis","Mammalia","Mustelidae",19,114,"NT","NT","santiagoramos","intermedio",15
"14657",128916777,"2022-06-30",5141848,-34.7972843419,-55.9040831984,"Canelones","Camptostoma obsoletum","Aves","Tyrannidae",19,9,"LC","LC","santiagoramos","intermedio",15
"14658",128916778,"2022-06-30",5141848,-34.7974178717,-55.9040220689,"Canelones","Troglodytes aedon","Aves","Troglodytidae",19,10,"LC","LC","santiagoramos","intermedio",15
"14659",128916780,"2022-06-30",5141848,-34.7974217623,-55.9040177046,"Canelones","Zonotrichia capensis","Aves","Passerellidae",19,12,"LC","LC","santiagoramos","intermedio",15
"14660",128916782,"2022-07-30",5141848,-34.8669935414,-55.0745883197,"Maldonado","Setophaga pitiayumi","Aves","Parulidae",19,9,"LC","LC","santiagoramos","intermedio",15
"14661",128916783,"2022-07-30",5141848,-34.8694359262,-55.0780572187,"Maldonado","Serpophaga subcristata","Aves","Tyrannidae",19,9,"LC","LC","santiagoramos","intermedio",15
