"","id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","frequencia","distribucion","distribucion_2","Habito1","Hab1_freq","Habito2","Hab2_freq","status_global"
"108",21825723,"2017-09-13","santiagomailhos","experimentado",1,-34.89442,-56.0594361667,"Montevideo","Magnoliopsida","Fabaceae","Lupinus bracteolaris",40,14,"Media","Hierba",2782,"Anual",766,"NE"
"109",21825957,"2017-09-05","santiagomailhos","experimentado",1,-32.5235166667,-58.0502555,"Río Negro","Magnoliopsida","Solanaceae","Solanum sisymbriifolium",79,2,"Baja","Hierba",2782,"Perenne",3810,"NE"
"110",21826072,"2017-09-03","santiagomailhos","experimentado",1,-34.8785033333,-56.0533638333,"Montevideo","Magnoliopsida","Asteraceae","Sonchus oleraceus",36,8,"Media","Hierba",2782,"Anual",766,"NE"
"111",21826981,"2017-08-27","santiagomailhos","experimentado",1,-32.5290568419,-58.0373727269,"Río Negro","Magnoliopsida","Cactaceae","Lepismium lumbricoides",24,13,"Media","Hierba",2782,"Perenne",3810,"LC"
"112",21829001,"2017-08-02","santiagomailhos","experimentado",1,-34.8664083333,-56.0314555,"Canelones","Magnoliopsida","Fabaceae","Calliandra tweediei",38,13,"Media","Arbusto",912,"Perenne",3810,"LC"
"113",21831213,"2019-03-31","santiagomailhos","experimentado",1,-32.5251858378,-58.0337330153,"Río Negro","Magnoliopsida","Asteraceae","Gymnocoronis spilanthoides",8,13,"Media","Hierba",2782,"Perenne",3810,"NE"
"114",21832744,"2019-03-31","santiagomailhos","experimentado",1,-32.5235456577,-58.0332340669,"Río Negro","Magnoliopsida","Solanaceae","Nierembergia calycina",13,4,"Baja","Hierba",2782,"Perenne",3810,"NE"
"115",21832843,"2017-03-29","santiagomailhos","experimentado",1,-32.5178916667,-58.0521,"Río Negro","Magnoliopsida","Asteraceae","Campuloclinium macrocephalum",39,16,"Media","Hierba",2782,"Perenne",3810,"NE"
"116",21845004,"2017-03-15","santiagomailhos","experimentado",1,-32.5245333333,-58.035725,"Río Negro","Magnoliopsida","Cactaceae","Parodia erinacea",153,0,"NE","Hierba",2782,"Perenne",3810,"LC"
"117",21851717,"2019-03-31","santiagomailhos","experimentado",1,-32.5252137293,-58.0458981038,"Río Negro","Magnoliopsida","Fabaceae","Trifolium pratense",15,2,"Baja","Hierba",2782,"Perenne",3810,"LC"
"118",21852046,"2019-03-31","santiagomailhos","experimentado",1,-32.5249825622,-58.0460910462,"Río Negro","Magnoliopsida","Fabaceae","Lotus corniculatus",11,2,"Baja","Hierba",2782,"Perenne",3810,"NE"
"119",21852122,"2019-03-31","santiagomailhos","experimentado",1,-32.5250914075,-58.0450185605,"Río Negro","Magnoliopsida","Asteraceae","Cichorium intybus",49,4,"Baja","Hierba",2782,"Anual",766,"NE"
"120",21860442,"2019-04-01","santiagomailhos","experimentado",1,-32.5231734484,-58.037328248,"Río Negro","Magnoliopsida","Cactaceae","Opuntia rioplatense",9,4,"Baja","Hierba",2782,"Perenne",3810,"NE"
"121",21874808,"2019-04-01","santiagomailhos","experimentado",1,-32.5247451442,-58.038657286,"Río Negro","Magnoliopsida","Asteraceae","Chaptalia piloselloides",21,10,"Media","Hierba",2782,"Perenne",3810,"NE"
"122",21878324,"2019-04-01","santiagomailhos","experimentado",1,-32.5294443078,-58.0572420618,"Río Negro","Magnoliopsida","Fabaceae","Vachellia caven",65,14,"Media","Arbusto",912,"Perenne",3810,"LC"
"123",21878383,"2019-04-01","santiagomailhos","experimentado",1,-32.5250390584,-58.0359371051,"Río Negro","Magnoliopsida","Fabaceae","Geoffroea decorticans",15,5,"Baja","Arbol",314,"Perenne",3810,"LC"
"124",21885313,"2019-04-01","santiagomailhos","experimentado",1,-32.5288067996,-58.0384284158,"Río Negro","Magnoliopsida","Cactaceae","Opuntia monacantha",10,0,"NE","Arbusto",912,"Perenne",3810,"LC"
"125",21885875,"2019-04-01","santiagomailhos","experimentado",1,-32.52862208,-58.0285511135,"Río Negro","Magnoliopsida","Fabaceae","Erythrina crista-galli",64,10,"Media","Arbol",314,"Perenne",3810,"LC"
"126",21891163,"2019-04-01","santiagomailhos","experimentado",1,-32.5192663297,-58.0444752215,"Río Negro","Magnoliopsida","Asteraceae","Carduus acanthoides",13,6,"Media","Hierba",2782,"Anual",766,"NE"
"127",21891583,"2019-04-01","santiagomailhos","experimentado",1,-32.5267354776,-58.0481610054,"Río Negro","Magnoliopsida","Fabaceae","Macroptilium prostratum",6,14,"Media","Hierba",2782,"Perenne",3810,"NE"
