"","id","observado","usuario","latitude","longitude","place_admin1_name","especie","clase","familia","distribucion","largo_cm","status_global","status_regional","nivel","ranking"
"29",644794,"2014-04-23","gantproductions",-34.2613638889,-55.9728861111,"Florida","Theristicus caerulescens","Aves","Threskiornithidae",19,62,"LC","LC","visitante",29
"30",645397,"2014-04-24","gantproductions",-32.0747194444,-55.7520305556,"Tacuarembó","Athene cunicularia","Aves","Strigidae",19,25,"LC","NT","visitante",29
"31",645531,"2014-04-24","gantproductions",-32.188075,-55.7126416667,"Tacuarembó","Buteogallus meridionalis","Aves","Accipitridae",19,51,"LC","LC","visitante",29
"32",645539,"2014-04-24","gantproductions",-32.1880638889,-55.7126194444,"Tacuarembó","Rhea americana","Aves","Rheidae",19,140,"NT","LC","visitante",29
"33",645610,"2014-04-24","gantproductions",-31.8274638889,-56.00265,"Tacuarembó","Aramides ypecaha","Aves","Rallidae",19,45,"LC","LC","visitante",29
"34",645622,"2014-04-24","gantproductions",-31.7568475668,-55.8011366481,"Tacuarembó","Heteroxolmis dominicana","Aves","Tyrannidae",17,19,"VU","VU","visitante",29
"35",646149,"2014-04-27","gantproductions",-34.957405,-54.9442966667,"Maldonado","Haematopus palliatus","Aves","Haematopodidae",8,35,"LC","LC","visitante",29
"36",646189,"2012-12-23","gantproductions",-34.039,-53.5413333333,"Rocha","Rhinella arenarum","Amphibia","Bufonidae",10,11.5,"LC","LC","visitante",29
"37",646219,"2012-12-23","gantproductions",-34.401368,-53.782657,"Rocha","Rhinella arenarum","Amphibia","Bufonidae",10,11.5,"LC","LC","visitante",29
"38",646232,"2013-11-10","gantproductions",-34.964212,-54.949528,"Maldonado","Otaria byronia","Mammalia","Otariidae",5,210,"LC","LC","visitante",29
"39",646278,"2012-12-23","gantproductions",-34.406078,-53.778441,"Rocha","Arctocephalus australis","Mammalia","Otariidae",7,150,"LC","LC","visitante",29
"40",912590,"2013-03-03","nicoolejnik",-34.074275,-57.366486,"Colonia","Elaenia parvirostris","Aves","Tyrannidae",19,13,"LC","LC","visitante",108
"41",912647,"2013-03-02","nicoolejnik",-34.112942,-57.374725,"Colonia","Embernagra platensis","Aves","Thraupidae",19,20,"LC","LC","visitante",108
"42",917562,"2013-03-03","nicoolejnik",-34.073137,-57.415924,"Colonia","Colaptes melanochloros","Aves","Picidae",19,23,"LC","LC","visitante",108
"43",1140305,"2013-03-02","nicoolejnik",-34.065552,-57.356071,"Colonia","Dasypus novemcinctus","Mammalia","Dasypodidae",19,70,"LC","LC","visitante",108
"44",1266639,"2011-01-10","guille",-34.182589,-53.752885,"Rocha","Cerdocyon thous","Mammalia","Canidae",19,110,"LC","LC","visitante",42
"45",1266655,"2011-01-10","guille",-34.402732,-53.776639,"Rocha","Anthus lutescens","Aves","Motacillidae",19,12,"LC","LC","visitante",42
"46",1266665,"2011-01-12","guille",-34.241271,-53.881717,"Rocha","Tyrannus savana","Aves","Tyrannidae",19,38,"LC","LC","visitante",42
"47",1266670,"2011-01-12","guille",-34.28346,-53.90606,"Rocha","Nannopterum brasilianum","Aves","Phalacrocoracidae",19,63,"LC","LC","visitante",42
"48",1266676,"2011-01-12","guille",-34.283478,-53.90325,"Rocha","Zonotrichia capensis","Aves","Passerellidae",19,12,"LC","LC","visitante",42
"49",1266686,"2011-01-12","guille",-34.283815,-53.903722,"Rocha","Pluvialis dominica","Aves","Charadriidae",19,23,"LC","LC","visitante",42
"50",1266702,"2011-01-13","guille",-33.90097,-53.511631,"Rocha","Cavia aperea","Mammalia","Caviidae",19,24,"LC","LC","visitante",42
"51",1527823,"2015-01-26","pipoca1730",-31.642915,-57.936037,"Paysandú","Cathartes aura","Aves","Cathartidae",19,60,"LC","LC","visitante",36
"52",1527861,"2015-01-30","pipoca1730",-33.968278,-53.549166,"Rocha","Colaptes melanochloros","Aves","Picidae",19,23,"LC","LC","visitante",36
"55",1544374,"2015-02-01","pipoca1730",-34.66667,-54.16667,"Rocha","Haematopus palliatus","Aves","Haematopodidae",8,35,"LC","LC","visitante",36
"56",1544379,"2015-01-29","pipoca1730",-32.371842743,-54.2477416992,"Cerro Largo","Rhea americana","Aves","Rheidae",19,140,"NT","LC","visitante",36
"57",1544385,"2015-01-28","pipoca1730",-32.36667,-54.18333,"Cerro Largo","Pyrocephalus rubinus","Aves","Tyrannidae",19,13,"LC","LC","visitante",36
"58",1544389,"2015-01-27","pipoca1730",-31.73333,-55.98333,"Tacuarembó","Xolmis irupero","Aves","Tyrannidae",19,17,"LC","LC","visitante",36
"59",1544425,"2015-01-26","pipoca1730",-34.04583,-53.5405,"Rocha","Athene cunicularia","Aves","Strigidae",19,25,"LC","NT","visitante",36
"60",1544458,"2015-01-26","pipoca1730",-31.66667,-57.91667,"Paysandú","Cathartes aura","Aves","Cathartidae",19,60,"LC","LC","visitante",36
"61",1544467,"2015-01-26","pipoca1730",-31.66667,-57.91667,"Paysandú","Cathartes aura","Aves","Cathartidae",19,60,"LC","LC","visitante",36
"62",1544492,"2015-01-26","pipoca1730",-31.95,-57.88333,"Paysandú","Zonotrichia capensis","Aves","Passerellidae",19,12,"LC","LC","visitante",36
"63",1544494,"2015-01-26","pipoca1730",-31.95,-57.88333,"Paysandú","Vanellus chilensis","Aves","Charadriidae",19,32,"LC","LC","visitante",36
"64",1544513,"2015-01-30","pipoca1730",-34.04583,-53.5405,"Rocha","Milvago chimango","Aves","Falconidae",19,37,"LC","LC","visitante",36
"65",1544517,"2015-01-28","pipoca1730",-32.36667,-54.18333,"Cerro Largo","Aramus guarauna","Aves","Aramidae",19,55,"LC","LC","visitante",36
"66",1544523,"2015-01-30","pipoca1730",-34.04583,-53.5405,"Rocha","Ciconia maguari","Aves","Ciconiidae",19,85,"LC","LC","visitante",36
"67",1544526,"2015-01-30","pipoca1730",-34.04583,-53.5405,"Rocha","Progne tapera","Aves","Hirundinidae",19,16,"LC","LC","visitante",36
"68",1544530,"2015-02-01","pipoca1730",-34.66667,-54.16667,"Rocha","Charadrius semipalmatus","Aves","Charadriidae",5,15,"LC","LC","visitante",36
"69",1544537,"2015-02-01","pipoca1730",-34.66667,-54.16667,"Rocha","Charadrius semipalmatus","Aves","Charadriidae",5,15,"LC","LC","visitante",36
"70",1544545,"2015-02-01","pipoca1730",-34.66667,-54.16667,"Rocha","Chroicocephalus maculipennis","Aves","Laridae",19,35,"LC","LC","visitante",36
"71",1544548,"2015-02-01","pipoca1730",-34.66667,-54.16667,"Rocha","Chroicocephalus maculipennis","Aves","Laridae",19,35,"LC","LC","visitante",36
"72",1544549,"2015-02-01","pipoca1730",-34.66667,-54.16667,"Rocha","Haematopus palliatus","Aves","Haematopodidae",8,35,"LC","LC","visitante",36
"73",1544552,"2015-02-01","pipoca1730",-34.66667,-54.16667,"Rocha","Tringa flavipes","Aves","Scolopacidae",19,25,"LC","LC","visitante",36
"74",1544562,"2015-02-01","pipoca1730",-34.66667,-54.16667,"Rocha","Tringa flavipes","Aves","Scolopacidae",19,25,"LC","LC","visitante",36
