"","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name"
"101","research","Colonia","Leptodactylus mystacinus","Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Leptodactylus"
"102","research","Rocha","Bothrops alternatus","Animalia","Chordata","Reptilia","Squamata","Viperidae","Bothrops"
"103","research","Rocha","Amphisbaena darwinii","Animalia","Chordata","Reptilia","Squamata","Amphisbaenidae","Amphisbaena"
"104","research","Rocha","Physalaemus biligonigerus","Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Physalaemus"
"105","research","Maldonado","Teius oculatus","Animalia","Chordata","Reptilia","Squamata","Teiidae","Teius"
"106","research","Rocha","Salvator merianae","Animalia","Chordata","Reptilia","Squamata","Teiidae","Salvator"
"107","research","Rocha","Xenodon dorbignyi","Animalia","Chordata","Reptilia","Squamata","Colubridae","Xenodon"
"108","research","Paysandú","Philodryas patagoniensis","Animalia","Chordata","Reptilia","Squamata","Colubridae","Philodryas"
"109","research","Montevideo","Bubulcus ibis","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus"
"110","research","Montevideo","Gallinula galeata","Animalia","Chordata","Aves","Gruiformes","Rallidae","Gallinula"
"111","research","Montevideo","Parabuteo unicinctus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Parabuteo"
"112","research","Montevideo","Anser anser","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser"
"113","research","Montevideo","Anas flavirostris","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas"
"114","research","Montevideo","Turdus amaurochalinus","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus"
"115","research","Montevideo","Molothrus bonariensis","Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus"
"116","research","Montevideo","Chroicocephalus cirrocephalus","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus"
"117","research","Montevideo","Columba livia","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba"
"118","research","Montevideo","Tyrannus melancholicus","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus"
"119","research","Montevideo","Machetornis rixosa","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Machetornis"
"120","research","Montevideo","Leucochloris albicollis","Animalia","Chordata","Aves","Caprimulgiformes","Trochilidae","Leucochloris"
"121","research","Montevideo","Anas platyrhynchos","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas"
"122","research","Montevideo","Lepidocolaptes angustirostris","Animalia","Chordata","Aves","Passeriformes","Furnariidae","Lepidocolaptes"
"123","research","Montevideo","Myiarchus swainsoni","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus"
"124","research","Montevideo","Setophaga pitiayumi","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga"
"125","research","Maldonado","Megaceryle torquata","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Megaceryle"
"126","research","Rocha","Myocastor coypus","Animalia","Chordata","Mammalia","Rodentia","Echimyidae","Myocastor"
"127","research","Maldonado","Cygnus melancoryphus","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus"
"128","research","Rocha","Phalotris lemniscatus","Animalia","Chordata","Reptilia","Squamata","Colubridae","Phalotris"
"129","research","Montevideo","Sturnus vulgaris","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus"
"130","research","Florida","Boana pulchella","Animalia","Chordata","Amphibia","Anura","Hylidae","Boana"
"131","research","Canelones","Hylocharis chrysura","Animalia","Chordata","Aves","Caprimulgiformes","Trochilidae","Hylocharis"
"132","research","Rivera","Pygochelidon cyanoleuca","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Pygochelidon"
"133","research","Rivera","Tadarida brasiliensis","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","Tadarida"
"134","research","Rivera","Myotis levis","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"135","research","Canelones","Accipiter striatus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"136","research","Canelones","Coscoroba coscoroba","Animalia","Chordata","Aves","Anseriformes","Anatidae","Coscoroba"
"137","research","Canelones","Falco femoralis","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco"
"138","research","Canelones","Thamnophilus caerulescens","Animalia","Chordata","Aves","Passeriformes","Thamnophilidae","Thamnophilus"
"139","research","Maldonado","Limosa haemastica","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa"
"140","research","Maldonado","Charadrius falklandicus","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius"
"141","research","Canelones","Dendrocygna bicolor","Animalia","Chordata","Aves","Anseriformes","Anatidae","Dendrocygna"
"142","research","Maldonado","Arenaria interpres","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria"
"143","research","Rocha","Lygophis anomalus","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lygophis"
"144","research","Rocha","Sporophila collaris","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Sporophila"
"145","research","Canelones","Phrynops hilarii","Animalia","Chordata","Reptilia","Testudines","Chelidae","Phrynops"
"146","research","Lavalleja","Drymornis bridgesii","Animalia","Chordata","Aves","Passeriformes","Furnariidae","Drymornis"
"147","research","Canelones","Calidris subruficollis","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris"
"148","research","Canelones","Pachyramphus polychopterus","Animalia","Chordata","Aves","Passeriformes","Tityridae","Pachyramphus"
"149","research","Canelones","Circus buffoni","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus"
"150","research","Canelones","Liolaemus wiegmannii","Animalia","Chordata","Reptilia","Squamata","Liolaemidae","Liolaemus"
"151","research","Rocha","Stilpnia preciosa","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Stilpnia"
"152","research","Canelones","Monodelphis dimidiata","Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Monodelphis"
"153","research","Canelones","Hirundinea ferruginea","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Hirundinea"
"154","research","Rocha","Contomastix lacertoides","Animalia","Chordata","Reptilia","Squamata","Teiidae","Contomastix"
"155","research","Canelones","Geositta cunicularia","Animalia","Chordata","Aves","Passeriformes","Furnariidae","Geositta"
"156","research","Tacuarembó","Theristicus caudatus","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Theristicus"
"157","research","Colonia","Agelaioides badius","Animalia","Chordata","Aves","Passeriformes","Icteridae","Agelaioides"
"158","research","Rivera","Penelope obscura","Animalia","Chordata","Aves","Galliformes","Cracidae","Penelope"
"159","research","Colonia","Ctenomys pearsoni","Animalia","Chordata","Mammalia","Rodentia","Ctenomyidae","Ctenomys"
"160","research","Tacuarembó","Cariama cristata","Animalia","Chordata","Aves","Cariamiformes","Cariamidae","Cariama"
"161","research","Canelones","Hydrochoerus hydrochaeris","Animalia","Chordata","Mammalia","Rodentia","Caviidae","Hydrochoerus"
