"","id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","distribucion","distribucion_2","Habito1","Habito2","status_global"
"5236",118229703,"2022-05-22","samuel324","visitante",28,-34.4611333333,-55.2372633333,"Lavalleja","Magnoliopsida","Fabaceae","Ulex europaeus",4,"Baja","Arbusto","Perenne","LC"
"5285",119166058,"2022-05-28","danialdias","visitante",15,-32.5931047,-53.3744131,"Cerro Largo","Magnoliopsida","Asteraceae","Baccharis dracunculifolia",12,"Media","Arbusto","Perenne","NE"
"5287",119166069,"2022-05-28","danialdias","visitante",15,-32.5931047,-53.3744131,"Cerro Largo","Magnoliopsida","Fabaceae","Senna corymbosa",19,"Alta","Arbusto","Perenne","LC"
"5288",119166072,"2022-05-28","danialdias","visitante",15,-32.5931047,-53.3744131,"Cerro Largo","Magnoliopsida","Fabaceae","Mimosa pilulifera",7,"Media","Arbusto","Perenne","LC"
"5292",119166094,"2022-05-28","danialdias","visitante",15,-32.5931047,-53.3744131,"Cerro Largo","Magnoliopsida","Fabaceae","Sesbania virgata",11,"Media","Arbusto","Perenne","LC"
"5480",125044234,"2022-07-01","danialdias","visitante",15,-32.5931047,-53.3744131,"Cerro Largo","Magnoliopsida","Fabaceae","Senna corymbosa",19,"Alta","Arbusto","Perenne","LC"
"5490",125514753,"2022-05-20","samuel324","visitante",28,-34.443955,-55.238225,"Lavalleja","Magnoliopsida","Fabaceae","Sesbania punicea",12,"Media","Arbol","Perenne","LC"
"5530",128675146,"2022-07-30","juanmmartinez","visitante",79,-34.882119,-55.0457729722,"Maldonado","Magnoliopsida","Fabaceae","Acacia longifolia",5,"Baja","Arbol","Perenne","LC"
"5639",133645501,"2022-09-04","joao_gava_just","visitante",412,-33.7470266997,-53.3821239997,"Rocha","Magnoliopsida","Fabaceae","Acacia longifolia",5,"Baja","Arbol","Perenne","LC"
"5787",137757926,"2022-10-06","enriquecenoz","visitante",5,-34.8480577333,-55.12176545,"Maldonado","Magnoliopsida","Asteraceae","Baccharis punctulata",12,"Media","Arbusto","Perenne","LC"
"5830",138307411,"2022-10-10","enriquecenoz","visitante",5,-34.8917418167,-54.9606904333,"Maldonado","Magnoliopsida","Fabaceae","Vicia sativa",4,"Baja","Hierba","Anual","LC"
"5850",138539867,"2022-10-12","enriquecenoz","visitante",5,-34.9031447,-54.9685835,"Maldonado","Magnoliopsida","Asteraceae","Ambrosia tenuifolia",10,"Media","Hierba","Perenne","NE"
"5892",139027899,"2022-10-16","enriquecenoz","visitante",5,-34.8479286,-55.1220173,"Maldonado","Magnoliopsida","Fabaceae","Erythrina crista-galli",10,"Media","Arbol","Perenne","LC"
"5902",139154194,"2022-10-17","enriquecenoz","visitante",5,-34.8994497,-54.9598492,"Maldonado","Magnoliopsida","Asteraceae","Ambrosia artemisiifolia",7,"Media","Hierba","Anual",""
"5940",139348072,"2022-10-19","enriquecenoz","visitante",5,-34.8703311167,-55.0799384167,"Maldonado","Magnoliopsida","Asteraceae","Achyrocline saturejoides",13,"Media","Subarbusto","Perenne","NE"
"5986",139891694,"2022-10-24","enriquecenoz","visitante",5,-34.91101965,-54.9944406,"Maldonado","Magnoliopsida","Cactaceae","Opuntia arechavaletae",2,"Baja","Arbusto","Perenne","LC"
"5997",139988993,"2022-10-25","enriquecenoz","visitante",5,-34.9286408,-54.940703,"Maldonado","Magnoliopsida","Fabaceae","Acacia longifolia",5,"Baja","Arbol","Perenne","LC"
"6003",140024989,"2022-10-23","karuquebec","visitante",35,-34.9189901408,-55.124488435,"Maldonado","Magnoliopsida","Cactaceae","Parodia ottonis",19,"Alta","Hierba","Perenne","VU"
"6015",140218878,"2022-10-24","karuquebec","visitante",35,-34.9003576473,-55.2508020901,"Maldonado","Magnoliopsida","Cactaceae","Opuntia aurantiaca",1,"Baja","Subarbusto","Perenne","LC"
"6022",141065509,"2022-05-26","juan_pablo_de_souza","visitante",187,-34.350045,-55.7695916667,"Canelones","Magnoliopsida","Fabaceae","Bauhinia forficata",4,"Baja","Arbol","Perenne","LC"
