"","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name"
"271","research","Artigas","Indigofera asperifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Indigofera"
"272","research","Artigas","Pterocaulon cordobense","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pterocaulon"
"273","research","Artigas","Hysterionica montevidensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hysterionica"
"274","research","Treinta y Tres","Stylosanthes leiocarpa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Stylosanthes"
"275","research","Río Negro","Stevia aristata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Stevia"
"276","research","Río Negro","Trixis nobilis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Trixis"
"277","research","Cerro Largo","Lupinus lanatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"278","research","Río Negro","Stevia multiaristata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Stevia"
"279","research","Montevideo","Noticastrum marginatum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Noticastrum"
"280","research","Río Negro","Senna scabriuscula","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Senna"
"281","research","Río Negro","Chamaecrista flexuosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Chamaecrista"
"282","research","Río Negro","Tephrosia cinerea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Tephrosia"
"283","research","Montevideo","Cosmos sulphureus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cosmos"
"284","research","Maldonado","Stylosanthes montevidensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Stylosanthes"
"285","research","Maldonado","Senecio ceratophylloides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio"
"286","research","Rivera","Ancistrotropis clitorioides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Ancistrotropis"
"287","research","Río Negro","Silybum marianum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Silybum"
"288","research","Maldonado","Baccharis gnaphalioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis"
"289","research","Paysandú","Facelis retusa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Facelis"
"290","research","Maldonado","Baccharis jocheniana","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis"
"291","research","Paysandú","Micropsis spathulata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Micropsis"
"292","research","Río Negro","Baccharis salicifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis"
"293","research","Río Negro","Taraxacum erythrospermum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Taraxacum"
"294","research","Paysandú","Medicago polymorpha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Medicago"
"295","research","Río Negro","Pamphalea bupleurifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pamphalea"
"296","research","Soriano","Centaurea calcitrapa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Centaurea"
"297","research","Maldonado","Mimosa axillarioides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa"
