id,observado,usuario,latitude,longitude,place_admin1_name,especie,clase,familia,distribucion,largo_cm,status_global,status_regional,nivel,ranking
120242814,2022-06-04,martzz,-34.4845774926,-54.3426285312,Rocha,Pachyramphus viridis,Aves,Tityridae,16,14,LC,LC,intermedio,17
120243001,2022-06-04,martzz,-34.4864857431,-54.3414728343,Rocha,Syndactyla rufosuperciliata,Aves,Furnariidae,19,16,LC,LC,intermedio,17
120276929,2022-06-01,vanesssa_v,-34.7883042714,-55.3930865228,Maldonado,Cavia aperea,Mammalia,Caviidae,19,24,LC,LC,intermedio,63
120277414,2022-06-04,vanesssa_v,-34.8308795767,-55.3146520257,Maldonado,Chionis albus,Aves,Chionidae,4,37,LC,LC,intermedio,63
120283025,2022-06-04,elena_26,-34.8563283062,-55.1182717457,Maldonado,Paroaria coronata,Aves,Thraupidae,19,17,LC,LC,intermedio,16
120335149,2022-06-04,santiagoramos,-34.8767270137,-55.070842748,Maldonado,Cranioleuca pyrrhophia,Aves,Furnariidae,19,14,LC,LC,intermedio,15
120335150,2022-06-04,santiagoramos,-34.8793460398,-55.06920984,Maldonado,Sterna trudeaui,Aves,Laridae,13,32,LC,LC,intermedio,15
120335153,2022-06-04,santiagoramos,-34.8759901201,-55.0718095189,Maldonado,Piranga flava,Aves,Cardinalidae,19,17,LC,LC,intermedio,15
120335155,2022-06-04,santiagoramos,-34.8669297029,-55.070435789,Maldonado,Colaptes melanochloros,Aves,Picidae,19,23,LC,LC,intermedio,15
120335156,2022-06-04,santiagoramos,-34.8671428902,-55.0703499749,Maldonado,Camptostoma obsoletum,Aves,Tyrannidae,19,9,LC,LC,intermedio,15
120344022,2022-02-20,santiagoramos,-34.7873557657,-55.8919814291,Canelones,Leptodactylus luctator,Amphibia,Leptodactylidae,19,12,LC,LC,intermedio,15
120344024,2022-02-20,santiagoramos,-34.7901392809,-55.8959647693,Canelones,Leptodactylus mystacinus,Amphibia,Leptodactylidae,19,6,LC,LC,intermedio,15
120344026,2022-03-12,santiagoramos,-34.3995410435,-53.7761464345,Rocha,Tursiops truncatus,Mammalia,Delphinidae,6,300,LC,NT,intermedio,15
120344028,2022-03-13,santiagoramos,-34.4021495403,-53.7766477851,Rocha,Arctocephalus australis,Mammalia,Otariidae,7,150,LC,LC,intermedio,15
120440400,2022-06-05,gmmv80,-34.820289,-55.322231,Maldonado,Chionis albus,Aves,Chionidae,4,37,LC,LC,experimentado,10
120442101,2019-05-01,batitu,-34.7617171,-56.4286891,San José,Charadrius modestus,Aves,Charadriidae,19,19,LC,LC,intermedio,13
120442102,2019-05-04,batitu,-34.9352387,-56.1605329,Montevideo,Muscisaxicola maclovianus,Aves,Tyrannidae,12,15,LC,LC,intermedio,13
120442104,2019-05-04,batitu,-34.9127992,-56.1651513,Montevideo,Serpophaga griseicapilla,Aves,Tyrannidae,19,9,LC,NE,intermedio,13
120442108,2019-05-26,batitu,-34.8867333,-56.042767,Montevideo,Chroicocephalus cirrocephalus,Aves,Laridae,15,38,LC,LC,intermedio,13
120442111,2019-06-02,batitu,-34.771806797,-56.4817183012,San José,Limnoctites sulphuriferus,Aves,Furnariidae,18,15,LC,NT,intermedio,13
120442115,2019-06-02,batitu,-34.7617171,-56.4286891,San José,Pseudoleistes virescens,Aves,Icteridae,19,21,LC,LC,intermedio,13
120442117,2019-06-30,batitu,-34.7903355,-56.3502545,Montevideo,Accipiter striatus,Aves,Accipitridae,19,26,LC,LC,intermedio,13
120442118,2019-07-07,batitu,-33.1326355707,-58.3084883476,Río Negro,Picumnus cirratus,Aves,Picidae,6,8,LC,DD,intermedio,13
120442120,2019-07-07,batitu,-33.1228052,-58.2975552,Río Negro,Microspingus melanoleucus,Aves,Thraupidae,19,12,LC,LC,intermedio,13
120442121,2019-07-07,batitu,-33.1228052,-58.2975552,Río Negro,Suiriri suiriri,Aves,Tyrannidae,19,13,LC,LC,intermedio,13
120442122,2019-07-07,batitu,-33.1228052,-58.2975552,Río Negro,Knipolegus cyanirostris,Aves,Tyrannidae,19,14,LC,LC,intermedio,13
120442123,2019-07-19,batitu,-32.7021934,-57.6382382,Río Negro,Leptasthenura platensis,Aves,Furnariidae,19,16,LC,LC,intermedio,13
120442124,2019-07-19,batitu,-32.7679450714,-57.7129816285,Río Negro,Cacicus solitarius,Aves,Icteridae,14,24,LC,NT,intermedio,13
120442126,2019-07-19,batitu,-32.7021934,-57.6382382,Río Negro,Myiopsitta monachus,Aves,Psittacidae,19,27,LC,LC,intermedio,13
120442128,2019-07-20,batitu,-32.6626805,-58.1295074,Río Negro,Pachyramphus viridis,Aves,Tityridae,16,14,LC,LC,intermedio,13
120442129,2019-07-19,batitu,-32.7021934,-57.6382382,Río Negro,Satrapa icterophrys,Aves,Tyrannidae,19,16,LC,LC,intermedio,13
120442130,2019-07-20,batitu,-32.6626805,-58.1295074,Río Negro,Accipiter bicolor,Aves,Accipitridae,11,35,LC,LC,intermedio,13
120442131,2019-07-20,batitu,-32.7453133976,-58.1410615802,Río Negro,Cyanoloxia brissonii,Aves,Cardinalidae,19,16,LC,NT,intermedio,13
120442133,2019-07-19,batitu,-32.6284571726,-57.6774550964,Río Negro,Melanerpes cactorum,Aves,Picidae,6,16,LC,VU,intermedio,13
