,quality_grade,taxon_species_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,Distribution,Size (cm)
596,research,Anthracothorax nigricollis,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Anthracothorax,Rara,9
352,research,Anthus correndera,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Abundante,14
432,research,Anthus furcatus,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Abundante,14
325,research,Anthus hellmayri,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Abundante,14
38,research,Anthus lutescens,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Abundante,12
569,research,Anthus nattereri,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Rara,14
247,research,Anumbius annumbi,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Anumbius,Abundante,18
4,research,Aramides cajaneus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Aramides,Abundante,36
606,research,Aramides saracura,Animalia,Chordata,Aves,Gruiformes,Rallidae,Aramides,NA,NA
29,research,Aramides ypecaha,Animalia,Chordata,Aves,Gruiformes,Rallidae,Aramides,Abundante,45
47,research,Aramus guarauna,Animalia,Chordata,Aves,Gruiformes,Aramidae,Aramus,Abundante,55
567,research,Aratinga nenday,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,Rara,30
82,research,Ardea alba,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Abundante,65
64,research,Ardea cocoi,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Abundante,75
418,research,Ardenna gravis,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Ardenna,Rara,45
439,research,Ardenna grisea,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Ardenna,Rara,50
142,research,Arenaria interpres,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,Rara,22
586,research,Asio clamator,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Abundante,38
272,research,Asio flammeus,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Abundante,40
435,research,Asthenes baeri,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Asthenes,Abundante,14
563,research,Asthenes pyrrholeuca,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Asthenes,Abundante,16
26,research,Athene cunicularia,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,Abundante,25
200,research,Bartramia longicauda,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Abundante,26
294,research,Basileuterus culicivorus,Animalia,Chordata,Aves,Passeriformes,Parulidae,Basileuterus,Abuntante,12
450,research,Botaurus pinnatus,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,Abundante,62
494,research,Brotogeris chiriri,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,Rara,20
205,research,Bubo virginianus,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,Abundante,51
109,research,Bubulcus ibis,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,Abundante,37
