"","user_id","primer_registro","ultimo_registro","registros","tiempo_activo","registros_x_tiempo","categoria_usuario","user_login"
"143",1385231,"2018-12-09 19:31:19 UTC","2019-07-12 18:12:53 UTC",14,215.945532407407,0.0648311629507912,"principiante","brunoolivera"
"144",1385272,"2018-12-09 21:41:33 UTC","2018-12-09 21:43:03 UTC",2,1.00104166666667,1.99791883454735,"principiante","elizabeth419"
"145",1385544,"2018-12-10 01:14:13 UTC","2018-12-10 01:14:13 UTC",1,1,1,"principiante","wandapias"
"146",1386496,"2018-12-10 18:37:54 UTC","2018-12-10 18:37:54 UTC",1,1,1,"principiante","dandara"
"147",1387441,"2018-12-11 13:23:21 UTC","2018-12-11 13:23:21 UTC",1,1,1,"principiante","santiago101"
"148",1391058,"2018-12-15 01:02:36 UTC","2021-03-23 18:49:16 UTC",5,830.740740740741,0.00601872492197949,"principiante","janabannana"
"149",1391245,"2018-12-15 02:47:23 UTC","2018-12-29 13:08:21 UTC",2,15.4312268518519,0.129607322813739,"principiante","salvarrey"
"150",1391905,"2018-12-15 19:11:16 UTC","2018-12-15 19:11:16 UTC",1,1,1,"principiante","maru_2108"
"151",1391980,"2018-12-15 21:08:07 UTC","2018-12-15 21:08:07 UTC",1,1,1,"principiante","martin281"
"152",1395132,"2019-10-27 01:14:27 UTC","2020-11-30 12:25:36 UTC",8,401.466076388889,0.0199269638719129,"principiante","gaveru"
"153",1397826,"2018-12-24 23:21:55 UTC","2018-12-24 23:21:55 UTC",1,1,1,"principiante","bernardomazzeirosa"
"154",1400851,"2018-12-24 18:11:58 UTC","2018-12-24 18:12:12 UTC",2,1.00016203703704,1.99967597842942,"principiante","leon37"
"155",1406770,"2018-12-30 01:00:05 UTC","2018-12-30 01:08:16 UTC",4,1.00568287037037,3.97739696861585,"principiante","alexander233"
"156",1408025,"2018-12-31 01:47:15 UTC","2018-12-31 01:48:24 UTC",2,1.00079861111111,1.99840405231933,"principiante","miguelangel55"
"157",1409849,"2019-01-04 14:57:11 UTC","2019-01-04 14:57:11 UTC",1,1,1,"principiante","lucysni"
"158",1410344,"2019-01-02 03:03:21 UTC","2019-01-02 03:03:21 UTC",1,1,1,"principiante","enzo35"
"159",1412986,"2019-01-04 13:29:51 UTC","2019-01-04 13:29:51 UTC",1,1,1,"principiante","claracah"
"160",1414687,"2020-05-17 14:20:33 UTC","2021-02-27 13:08:36 UTC",213,286.950034722222,0.742289507670531,"intermedio","mateoalmada"
"161",1414759,"2020-07-21 15:54:09 UTC","2022-09-21 16:34:30 UTC",31,793.028020833333,0.0390906742077341,"principiante","johasmith"
"162",1415249,"2020-01-02 15:00:35 UTC","2022-02-15 01:29:58 UTC",7,775.437071759259,0.0090271670712349,"principiante","carlos540"
"163",1416909,"2019-01-14 16:49:17 UTC","2019-01-14 16:49:17 UTC",1,1,1,"principiante","miguel297"
"164",1416993,"2019-01-07 03:52:25 UTC","2019-01-12 14:13:59 UTC",2,6.43164351851852,0.310962508142971,"principiante","ana344"
"165",1417919,"2019-01-07 19:58:50 UTC","2019-01-07 20:16:32 UTC",5,1.01229166666667,4.93928791932496,"principiante","gustavo142"
"166",1419460,"2019-01-08 19:40:42 UTC","2020-12-16 09:27:18 UTC",2,708.574027777778,0.00282257029131082,"principiante","adolfoneufeld"
"167",1421172,"2019-01-09 21:41:13 UTC","2019-03-13 19:53:49 UTC",10,63.9254166666667,0.156432300662882,"principiante","raykos"
"168",1421506,"2019-01-10 03:59:02 UTC","2019-01-10 04:08:29 UTC",2,1.0065625,1.98696057125116,"principiante","lurodriguez"
"169",1422271,"2019-01-10 15:31:17 UTC","2019-01-10 15:31:17 UTC",1,1,1,"principiante","soluy"
"170",1425221,"2019-01-12 15:00:27 UTC","2022-04-16 19:27:57 UTC",19,1191.18576388889,0.0159504928416625,"principiante","gracepuntacolorada"
"171",1425573,"2019-01-12 21:09:12 UTC","2020-12-29 18:34:19 UTC",2,717.89244212963,0.00278593265875177,"principiante","carilinaa"
"172",1426142,"2019-01-13 04:37:31 UTC","2019-01-13 04:37:43 UTC",2,1.00013888888889,1.99972226079711,"principiante","vanessagonzalez1"
"173",1433279,"2019-01-17 20:30:39 UTC","2019-01-17 20:39:51 UTC",2,1.00638888888889,1.98730333977367,"principiante","danielmndez"
"174",1435018,"2019-01-19 05:28:01 UTC","2019-01-19 05:52:42 UTC",2,1.0171412037037,1.96629533118649,"principiante","sebastian168"
"175",1437050,"2019-01-21 20:34:34 UTC","2019-01-23 14:17:33 UTC",2,2.73818287037037,0.730411405915149,"principiante","carlos550"
"176",1437065,"2019-01-20 18:04:32 UTC","2021-06-27 18:58:06 UTC",10,890.037199074074,0.0112354854498253,"principiante","nipoli"
"177",1438508,"2020-05-29 23:35:01 UTC","2022-09-23 18:19:49 UTC",61,847.781111111111,0.0719525349179492,"principiante","carol211"
"178",1439323,"2019-04-21 17:24:35 UTC","2022-11-11 02:44:19 UTC",1067,1300.3887037037,0.820523891787911,"experimentado","gmmv80"
"179",1442400,"2019-01-24 15:50:19 UTC","2019-01-24 15:50:19 UTC",1,1,1,"principiante","leo106"
"180",1445247,"2019-01-26 11:23:59 UTC","2019-01-26 11:23:59 UTC",1,1,1,"principiante","jose355"
"181",1445386,"2019-01-27 19:07:02 UTC","2022-09-25 21:37:33 UTC",25,1338.10452546296,0.0186831443465527,"principiante","nachm"
"182",1445439,"2019-01-26 15:14:25 UTC","2020-01-22 16:55:23 UTC",17,362.070115740741,0.0469522317941666,"principiante","agustina_de_leon22"
"183",1447756,"2019-02-17 16:19:29 UTC","2019-02-17 16:19:29 UTC",1,1,1,"principiante","robertozanetti"
"184",1453879,"2019-01-31 22:26:55 UTC","2019-01-31 22:26:55 UTC",1,1,1,"principiante","guillocerdea"
"185",1454091,"2019-02-05 18:18:07 UTC","2019-02-05 18:18:07 UTC",1,1,1,"principiante","lucaskrilec"
"186",1454728,"2019-02-03 02:33:26 UTC","2019-02-03 02:33:26 UTC",1,1,1,"principiante","sanducera"
"187",1455076,"2019-02-01 19:33:35 UTC","2019-02-01 19:33:35 UTC",1,1,1,"principiante","joaqun12"
"188",1456106,"2019-02-02 11:51:59 UTC","2019-02-02 11:51:59 UTC",1,1,1,"principiante","marianelamarianela"
"189",1459196,"2019-02-05 16:39:45 UTC","2019-02-06 13:38:06 UTC",7,1.87385416666667,3.73561620990605,"principiante","tacuabe"
"190",1462561,"2019-02-19 16:24:26 UTC","2020-04-30 19:10:54 UTC",12,437.115601851852,0.0274526920319515,"principiante","hugofleitas"
"191",1467469,"2019-02-09 21:43:10 UTC","2022-10-23 20:06:49 UTC",5008,1352.93309027778,3.70158734085791,"experimentado","santiagomailhos"
"192",1470547,"2019-02-11 22:14:03 UTC","2019-02-11 22:14:03 UTC",1,1,1,"principiante","mnica31"
