,X,quality_grade,taxon_species_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,Distribution,Size (cm),IUCNglobal,IUCNregional,trendGlobal,n
130,149,research,Circus buffoni,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,19,52,LC,LC,Decreasing,46
131,286,research,Circus cinereus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,19,48,LC,VU,Decreasing,8
132,334,research,Cistothorus platensis,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus,16,10,LC,VU,Increasing,9
133,564,research,Cnemotriccus fuscatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Cnemotriccus,1,12,LC,NE,Decreasing,2
134,346,research,Coccycua cinerea,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccycua,19,22,LC,LC,Decreasing,3
135,388,research,Coccyzus melacoryphus,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,19,28,LC,LC,Stable,9
136,510,research,Coereba flaveola,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Coereba,6,10,LC,NE,Decreasing,4
137,10,research,Colaptes campestris,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,19,27,LC,LC,Increasing,70
138,35,research,Colaptes melanochloros,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,19,23,LC,LC,Stable,124
139,117,research,Columba livia,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,19,33,LC,NE,Decreasing,28
140,250,research,Columbina picui,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,19,15,LC,LC,Stable,34
141,461,research,Columbina talpacoti,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,19,15,LC,LC,Increasing,10
142,528,research,Conopophaga lineata,Animalia,Chordata,Aves,Passeriformes,Conopophagidae,Conopophaga,1,11,LC,NT,Stable,3
143,58,research,Coragyps atratus,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Coragyps,19,53,LC,LC,Increasing,37
145,474,research,Coryphistera alaudina,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Coryphistera,6,15,LC,NT,Stable,12
146,436,research,Coryphospingus cucullatus,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Coryphospingus,19,12,LC,LC,Stable,14
147,136,research,Coscoroba coscoroba,Animalia,Chordata,Aves,Anseriformes,Anatidae,Coscoroba,19,71,LC,LC,Stable,44
148,302,research,Cranioleuca pyrrhophia,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Cranioleuca,19,14,LC,LC,Stable,39
149,539,research,Crotophaga ani,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Crotophaga,15,32,LC,LC,Stable,5
150,521,research,Crotophaga major,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Crotophaga,6,42,LC,VU,Stable,1
151,531,research,Crypturellus obsoletus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,1,30,LC,VU,Stable,2
152,559,research,Culicivora caudacuta,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Culicivora,2,10,VU,VU,Decreasing,1
153,535,research,Cyanocorax caeruleus,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocorax,2,35,NT,VU,Unknow,2
154,61,research,Cyanocorax chrysops,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocorax,16,32,LC,LC,Decreasing,26
155,438,research,Cyanoloxia brissonii,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cyanoloxia,19,16,LC,NT,Unknown,9
156,340,research,Cyanoloxia glaucocaerulea,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cyanoloxia,19,14,LC,LC,Decreasing,33
157,275,research,Cyclarhis gujanensis,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Cyclarhis,19,16,LC,LC,Decreasing,48
158,127,research,Cygnus melancoryphus,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,19,90,LC,LC,Stable,34
159,422,research,Dendrocolaptes platyrostris,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Dendrocolaptes,1,25,LC,NE,Stable,7
160,500,research,Dendrocygna autumnalis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,9,41,LC,NE,Increasing,8
161,141,research,Dendrocygna bicolor,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,19,41,LC,LC,Decreasing,8
162,72,research,Dendrocygna viduata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,19,42,LC,LC,Increasing,36
163,367,research,Diomedea epomophora,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea,6,115,VU,NT,Stable,1
164,585,research,Dolichonyx oryzivorus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,1,16,LC,NE,Decreasing,1
165,256,research,Donacospiza albifrons,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Donacospiza,19,14,LC,LC,Stable,33
166,146,research,Drymornis bridgesii,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Drymornis,19,26,LC,LC,Stable,27
167,287,research,Dryobates mixtus,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,7,16,LC,NT,Unknown,12
168,209,research,Dryobates spilogaster,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,19,14,LC,LC,NA,41
169,420,research,Egretta caerulea,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,12,40,LC,NE,Decreasing,10
170,18,research,Egretta thula,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,19,39,LC,LC,Increasing,130
171,359,research,Elaenia albiceps,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,13,13,LC,NE,Stable,6
172,561,research,Elaenia flavogaster,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,5,14,LC,NE,Stable,1
173,560,research,Elaenia mesoleuca,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,7,14,LC,LC,Decreasing,3
174,33,research,Elaenia parvirostris,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,19,13,LC,LC,Stable,40
175,240,research,Elaenia sordida,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,7,16,LC,NT,Stable,18
176,455,research,Elaenia spectabilis,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,7,16,LC,NT,Decreasing,4
177,409,research,Elanoides forficatus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanoides,9,56,LC,NE,Increasing,1
178,254,research,Elanus leucurus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,19,40,LC,LC,Increasing,8
179,562,research,Emberizoides herbicola,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Emberizoides,3,18,LC,NT,Decreasing,5
180,197,research,Emberizoides ypiranganus,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Emberizoides,12,16,LC,VU,Stable,5
181,34,research,Embernagra platensis,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Embernagra,19,20,LC,LC,Stable,93
182,300,research,Empidonomus aurantioatrocristatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonomus,14,17,LC,LC,Unknown,8
183,366,research,Empidonomus varius,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonomus,10,17,LC,LC,Stable,11
184,279,research,Eudyptes chrysolophus,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,1,10,VU,VU,Decreasing,1
185,501,research,Eupetomena macroura,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Eupetomena,3,17,LC,NE,Unknown,4
186,486,research,Euphonia chlorotica,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Euphonia,3,9,LC,NE,Stable,11
187,341,research,Euscarthmus meloryphus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Euscarthmus,19,10,LC,LC,Increasing,7
188,137,research,Falco femoralis,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,19,35,LC,LC,Decreasing,16
189,320,research,Falco peregrinus,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,19,39,LC,LC,Increasing,9
190,184,research,Falco sparverius,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,19,26,LC,LC,Stable,97
191,431,research,Florisuga fusca,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Florisuga,14,9,LC,LC,Unknown,8
192,482,research,Fluvicola albiventer,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Fluvicola,11,12,LC,NT,Stable,3
193,595,research,Fluvicola nengeta,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Fluvicola,2,15,LC,NE,Increasing,1
194,374,research,Fregata magnificens,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,6,65,LC,LC,Decreasing,17
195,22,research,Fulica armillata,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,19,35,LC,LC,Unknown,26
196,395,research,Fulica leucoptera,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,19,30,LC,LC,Stable,9
197,394,research,Fulica rufifrons,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,19,32,LC,LC,Stable,6
198,63,research,Furnarius rufus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Furnarius,19,18,LC,LC,Increasing,235
199,591,research,Gallinago magellanica,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,1,27,LC,NE,Decreasing,1
200,172,research,Gallinago paraguaiae,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,19,25,LC,LC,Stable,33
201,110,research,Gallinula galeata,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,19,33,LC,LC,Stable,44
202,570,research,Gelochelidon nilotica,Animalia,Chordata,Aves,Charadriiformes,Laridae,Gelochelidon,15,34,LC,LC,Decreasing,2
203,155,research,Geositta cunicularia,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Geositta,19,14,LC,LC,Decreasing,26
204,210,research,Geothlypis aequinoctialis,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,19,13,LC,LC,Stable,32
