,"id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","distribucion","distribucion_2","largo_cm","tamaño","status_regional","status_global"
"12463",136588907,"2022-09-26","santiagomailhos","experimentado",1,"-32.5327770536","-58.0298969535","Río Negro","Aves","Anatidae","Spatula versicolor",19,"Alta",37,"Mediano","LC","LC"
"12464",136589464,"2022-09-26","santiagomailhos","experimentado",1,"-32.5311175198","-58.0307903352","Río Negro","Aves","Ardeidae","Ardea alba",19,"Alta",65,"Grande","LC","LC"
"12465",136589742,"2022-09-26","santiagomailhos","experimentado",1,"-32.5325667923","-58.0312039766","Río Negro","Aves","Falconidae","Milvago chimango",19,"Alta",37,"Mediano","LC","LC"
"12466",136590166,"2022-09-26","santiagomailhos","experimentado",1,"-32.5319531963","-58.0326487343","Río Negro","Aves","Ardeidae","Egretta thula",19,"Alta",39,"Mediano","LC","LC"
"12467",136590443,"2022-09-26","santiagomailhos","experimentado",1,"-32.5298269179","-58.0361631784","Río Negro","Aves","Icteridae","Molothrus bonariensis",19,"Alta",19,"Pequeño","LC","LC"
"12468",136590753,"2022-09-26","santiagomailhos","experimentado",1,"-32.5289674006","-58.037370618","Río Negro","Aves","Tyrannidae","Tyrannus savana",19,"Alta",38,"Mediano","LC","LC"
"12469",136591498,"2022-09-26","santiagomailhos","experimentado",1,"-32.5317067555","-58.0339083271","Río Negro","Aves","Accipitridae","Rostrhamus sociabilis",19,"Alta",41,"Mediano","LC","LC"
"12470",136591976,"2022-09-26","santiagomailhos","experimentado",1,"-32.5315659404","-58.0304509499","Río Negro","Aves","Accipitridae","Rostrhamus sociabilis",19,"Alta",41,"Mediano","LC","LC"
"12471",136592335,"2022-09-26","ornitoloca","intermedio",14,"-34.7771556663","-55.8298550919","Canelones","Aves","Trochilidae","Florisuga fusca",14,"Media",9,"Pequeño","LC","LC"
"12472",136595588,"2022-09-26","juanjoraimon2410","principiante",425,"-30.2161873","-57.5639114","Artigas","Reptilia","Colubridae","Philodryas olfersii",4,"Baja",150,"Grande","LC","NE"
"12473",136603180,"2022-09-24","rpereirag","intermedio",26,"-33.9693215011","-54.0315329194","Rocha","Aves","Thraupidae","Thraupis sayaca",19,"Alta",15,"Pequeño","LC","LC"
