"id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","distribucion","distribucion_2","largo_cm","tamaño","status_regional","status_global"
6296524,"2017-01-30","craftybirder","visitante",68,"-34.7821781223","-55.9891172432","Canelones","Aves","Accipitridae","Geranoaetus albicaudatus",19,"Alta",53,"Grande","LC","LC"
6970136,"2017-07-08","weleaf","visitante",59,"-32.37997905","-53.92697861","Cerro Largo","Mammalia","Didelphidae","Didelphis albiventris",19,"Alta",90,"Mediano","LC","LC"
6970137,"2017-07-08","weleaf","visitante",59,"-32.37826382","-54.00389455","Cerro Largo","Mammalia","Canidae","Cerdocyon thous",19,"Alta",110,"Mediano","LC","LC"
6970138,"2017-07-08","weleaf","visitante",59,"-32.38082107","-54.01652109","Cerro Largo","Mammalia","Canidae","Lycalopex gymnocercus",19,"Alta",97,"Mediano","NT","LC"
7036602,"2017-07-11","weleaf","visitante",59,"-32.56051339","-54.57835282","Cerro Largo","Mammalia","Mephitidae","Conepatus chinga",19,"Alta",57,"Mediano","NT","LC"
7036604,"2017-07-11","weleaf","visitante",59,"-32.57085939","-54.58295678","Cerro Largo","Mammalia","Canidae","Lycalopex gymnocercus",19,"Alta",97,"Mediano","NT","LC"
7036607,"2017-07-12","weleaf","visitante",59,"-32.69825666","-54.6179552","Cerro Largo","Aves","Tinamidae","Nothura maculosa",19,"Alta",25,"Mediano","LC","LC"
7036609,"2017-07-12","weleaf","visitante",59,"-32.86673689","-54.861358","Cerro Largo","Reptilia","Colubridae","Erythrolamprus poecilogyrus",19,"Alta",70,"Mediano","LC","NE"
7036618,"2017-07-12","weleaf","visitante",59,"-32.88746866","-54.88225339","Cerro Largo","Mammalia","Canidae","Cerdocyon thous",19,"Alta",110,"Mediano","LC","LC"
7191892,"2015-02-11","megtc","visitante",275,"-34.8860942707","-56.0591125488","Montevideo","Reptilia","Amphisbaenidae","Amphisbaena munoai",12,"Media",15,"Pequeño","LC","NE"
7253680,"2017-07-14","weleaf","visitante",59,"-33.10663975","-55.38830267","Durazno","Mammalia","Mephitidae","Conepatus chinga",19,"Alta",57,"Mediano","NT","LC"
7253681,"2017-07-14","weleaf","visitante",59,"-33.1185303","-55.5745283","Durazno","Mammalia","Mephitidae","Conepatus chinga",19,"Alta",57,"Mediano","NT","LC"
7253682,"2017-07-15","weleaf","visitante",59,"-33.28268062","-56.10787207","Durazno","Mammalia","Mephitidae","Conepatus chinga",19,"Alta",57,"Mediano","NT","LC"
7253683,"2017-07-15","weleaf","visitante",59,"-33.3044841","-56.16382869","Durazno","Mammalia","Canidae","Lycalopex gymnocercus",19,"Alta",97,"Mediano","NT","LC"
7253684,"2017-07-15","weleaf","visitante",59,"-33.30429745","-56.16987501","Durazno","Mammalia","Mephitidae","Conepatus chinga",19,"Alta",57,"Mediano","NT","LC"
7253685,"2017-07-15","weleaf","visitante",59,"-33.30718358","-56.20851461","Durazno","Mammalia","Procyonidae","Procyon cancrivorus",19,"Alta",107,"Mediano","LC","LC"
7253686,"2017-07-15","weleaf","visitante",59,"-33.30896779","-56.22036774","Durazno","Mammalia","Mephitidae","Conepatus chinga",19,"Alta",57,"Mediano","NT","LC"
7253687,"2017-07-15","weleaf","visitante",59,"-33.30060065","-56.34503548","Durazno","Mammalia","Mephitidae","Conepatus chinga",19,"Alta",57,"Mediano","NT","LC"
7253689,"2017-07-18","weleaf","visitante",59,"-34.0341177","-57.36615078","Colonia","Mammalia","Procyonidae","Procyon cancrivorus",19,"Alta",107,"Mediano","LC","LC"
7306287,"2006-09-24","prodenazas","visitante",281,"-34.8964912006","-56.1037015915","Montevideo","Aves","Scolopacidae","Tringa melanoleuca",19,"Alta",33,"Mediano","LC","LC"
7306288,"2006-09-26","prodenazas","visitante",281,"-34.8835370932","-56.1439990997","Montevideo","Aves","Passerellidae","Zonotrichia capensis",19,"Alta",12,"Pequeño","LC","LC"
7589697,"2017-08-08","jessicarr415","visitante",129,"-34.9139216667","-56.1766133333","Montevideo","Aves","Psittacidae","Myiopsitta monachus",19,"Alta",27,"Mediano","LC","LC"
7593324,"2017-08-08","jessicarr415","visitante",129,"-34.9139533333","-56.1760866667","Montevideo","Aves","Charadriidae","Vanellus chilensis",19,"Alta",32,"Mediano","LC","LC"
7595198,"2017-08-09","jessicarr415","visitante",129,"-34.8608166667","-56.19972","Montevideo","Aves","Turdidae","Turdus rufiventris",19,"Alta",23,"Mediano","LC","LC"
7595344,"2017-08-08","jessicarr415","visitante",129,"-34.91502","-56.17062","Montevideo","Aves","Charadriidae","Vanellus chilensis",19,"Alta",32,"Mediano","LC","LC"
7674412,"2013-02-25","aurelien_miralles","visitante",82,"-34.2642474","-57.6106775","Colonia","Amphibia","Leptodactylidae","Leptodactylus mystacinus",19,"Alta",6,"Mediano","LC","LC"
7674447,"2013-03-02","aurelien_miralles","visitante",82,"-34.2750352","-53.783028","Rocha","Reptilia","Viperidae","Bothrops alternatus",19,"Alta",150,"Grande","LC","NE"
7674458,"2013-03-08","aurelien_miralles","visitante",82,"-34.402302","-53.794941","Rocha","Reptilia","Amphisbaenidae","Amphisbaena darwinii",13,"Media",28,"Pequeño","LC","NE"
7674481,"2013-03-02","aurelien_miralles","visitante",82,"-34.2685099813","-53.7790797238","Rocha","Reptilia","Colubridae","Erythrolamprus poecilogyrus",19,"Alta",70,"Mediano","LC","NE"
7674504,"2013-03-09","aurelien_miralles","visitante",82,"-34.9011127","-56.1645314","Montevideo","Amphibia","Bufonidae","Rhinella arenarum",10,"Media","11.5","Grande","LC","LC"
7674567,"2013-03-01","aurelien_miralles","visitante",82,"-34.2750352","-53.783028","Rocha","Amphibia","Leptodactylidae","Physalaemus biligonigerus",12,"Media",4,"Pequeño","LC","LC"
7674578,"2013-03-02","aurelien_miralles","visitante",82,"-34.2750352","-53.783028","Rocha","Amphibia","Bufonidae","Rhinella arenarum",10,"Media","11.5","Grande","LC","LC"
7674589,"2013-03-06","aurelien_miralles","visitante",82,"-34.9368789","-54.9281496","Maldonado","Reptilia","Teiidae","Teius oculatus",19,"Alta",12,"Pequeño","LC","NE"
7674617,"2013-03-04","aurelien_miralles","visitante",82,"-34.0037425716","-53.5486644153","Rocha","Reptilia","Teiidae","Salvator merianae",19,"Alta",140,"Grande","LC","LC"
7674661,"2013-03-05","aurelien_miralles","visitante",82,"-34.8513281","-55.0191916","Maldonado","Reptilia","Teiidae","Salvator merianae",19,"Alta",140,"Grande","LC","LC"
8135881,"2010-01-01","gabriel_moulatlet","visitante",381,"-34.4034350715","-53.7695351888","Rocha","Mammalia","Otariidae","Arctocephalus australis",7,"Media",150,"Mediano","LC","LC"
8411584,"2017-10-14","ezequielvera","visitante",60,"-32.2276377027","-58.1284616143","NA","Aves","Charadriidae","Charadrius collaris",19,"Alta",14,"Pequeño","LC","LC"
9135289,"2017-12-12","danielt","visitante",24,"-34.9113225529","-56.2003211972","Montevideo","Aves","Laridae","Chroicocephalus cirrocephalus",15,"Media",38,"Mediano","LC","LC"
9135290,"2017-12-12","danielt","visitante",24,"-34.9110480529","-56.2001903056","Montevideo","Aves","Columbidae","Columba livia",19,"Alta",33,"Mediano","NE","LC"
9135291,"2017-12-12","danielt","visitante",24,"-34.9114879563","-56.2000615596","Montevideo","Aves","Passeridae","Passer domesticus",19,"Alta",13,"Pequeño","NE","LC"
9135292,"2017-12-12","danielt","visitante",24,"-34.9116396343","-56.2000830173","Montevideo","Aves","Passeridae","Passer domesticus",19,"Alta",13,"Pequeño","NE","LC"
9135293,"2017-12-12","danielt","visitante",24,"-34.9117804027","-56.1976583003","Montevideo","Aves","Charadriidae","Vanellus chilensis",19,"Alta",32,"Mediano","LC","LC"
9135294,"2017-12-12","danielt","visitante",24,"-34.9116748264","-56.1977334022","Montevideo","Aves","Mimidae","Mimus saturninus",19,"Alta",25,"Mediano","LC","LC"
9135295,"2017-12-12","danielt","visitante",24,"-34.9124782581","-56.1950941086","Montevideo","Aves","Psittacidae","Myiopsitta monachus",19,"Alta",27,"Mediano","LC","LC"
9135296,"2017-12-12","danielt","visitante",24,"-34.9115192773","-56.1972506046","Montevideo","Aves","Icteridae","Molothrus bonariensis",19,"Alta",19,"Pequeño","LC","LC"
9135297,"2017-12-12","danielt","visitante",24,"-34.911748026","-56.1972720622","Montevideo","Aves","Psittacidae","Myiopsitta monachus",19,"Alta",27,"Mediano","LC","LC"
9135298,"2017-12-12","danielt","visitante",24,"-34.9106380611","-56.2023146149","Montevideo","Aves","Columbidae","Columba livia",19,"Alta",33,"Mediano","NE","LC"
9135299,"2017-12-12","danielt","visitante",24,"-34.9111993804","-56.2015142439","Montevideo","Aves","Laridae","Larus dominicanus",16,"Media",55,"Grande","LC","LC"
9135300,"2017-12-12","danielt","visitante",24,"-34.9110938034","-56.2022008895","Montevideo","Aves","Laridae","Larus dominicanus",16,"Media",55,"Grande","LC","LC"
9135302,"2017-12-12","danielt","visitante",24,"-34.9104962338","-56.2035741805","Montevideo","Aves","Columbidae","Columba livia",19,"Alta",33,"Mediano","NE","LC"
9135303,"2017-12-12","danielt","visitante",24,"-34.9104610411","-56.2004413603","Montevideo","Aves","Tyrannidae","Tyrannus melancholicus",19,"Alta",20,"Mediano","LC","LC"
9135305,"2017-12-12","danielt","visitante",24,"-34.9110945058","-56.2023510932","Montevideo","Aves","Laridae","Larus dominicanus",16,"Media",55,"Grande","LC","LC"
